Affiliation No.,Name,Head/Principle,Status of the School:,Affiliated Upto,Address,Phone,Email
330640,THE DIVINE PUBLIC SCHOOL,MR. ABHISHEK KUMAR SINGH,Senior Secondary, 31/03/2022 ,"DHAWAN, P.O. : DURGADIH,802212","6185,06185222221,",thedpsbkj@gmail.comWebsite:http://www.thedivinepublicschool.co.in
330497,The Duncan Academy,P SAMUEL MURALIDHARAN,Secondary School, 31/03/2021 ,"Duncan Hospital Campus,845305","6255,220961",duncanacademy.principal@gmail.com
330162,THE EARTH PUBLIC SCHOOL,SUBODH KUMAR JHA,Senior Secondary, 31/03/2020 ,"SRIPALPUR PUNPUN PATNA BIHAR,804453","0612,2477020",theearthschool@yahoo.com
330835,THE GYAN BHAIRAV GLOBAL SCHOOL,MR. NARENDRA DEO MISHRA,Secondary School, 31/03/2022 ,"PT.RAMDHANI CAMPUS,HARPUR, SELAUR, GUTHANI, SIWAN, BIHAR-841435,841435",",9523723623",gbglobalschool@gmail.comWebsite:http://www.gbitm.com
330851,THE IAS VILLE (TIV),MR. INDU BHUSHAN RAI,Secondary School, 31/03/2022 ,"VILLAGE- LAKHANPUR, P.O.+P.S.- DESARI, DISTT.- VAISHALI, BIHAR,844504",",9811589668",theiasville@gmail.com
330040,THE JAINTPUR PUBLIC SCHOOL,RAGHUNATH PARIDA,Senior Secondary, 31/03/2020 ,"MARIPUR MUZAFFARPUR BIHAR,842001","0621,2212455",jaintpurpublicschool@gmail.com
330818,THE MAHABODHI TREE,MR. PARTHA BANERJEE,Secondary School, 31/03/2022 ,"Vill- Matihani, PS - Magadh University,Gaya, Bihar,824234",",9934687250",principal@themahabodhitree.orgWebsite:http://themahabodhitree.org
330712,The Radiant School,SUDHIR KUMAR,Secondary School, 31/03/2020 ,"At.- Rudranagar, P.O.- Osain, P.S.-Shahpur, Bhojpur, Bihar,802183","0618,232185",THERADIANTSCHOOLRUDRANAGAR@GMAIL.COMWebsite:http://www.theradiantschoolrudranagar.in
330787,The Sanskar Valley School,MR. SUNIL KUMAR SRIVASTAWA,Secondary School, 31/03/2021 ,"Vill- Mirdadpur, P.S.- Guraru,824205",",09199276312",fdc.bipin@gmail.com
330557,The Tribhuvan School,Mahua Das Gupta,Senior Secondary, 31/03/2020 ,"Plot No. 328,331,332,333 Ashupur, Khagol, Danapur, Patna Bihar,801503","91,9546284111",viceprincipal@thetribhuvanschool.comWebsite:http://www.thetribhuvanschool.com
330376,TIRTHANKAR MAHAVEER VIDYA MANDIR,Vacant,Senior Secondary, 31/03/2023 ,"AT:- PURI, POST:- PAWAPURI, DIST.- NALANDA (BIHAR),803115","6112,255240",Website:http://www.veerayatanbihar.org
330630,TRANSCENDENCE INTERNATIONAL SCHOOL,VISHAMBHAR KUMAR JHA,Secondary School, 31/03/2023 ,"SAHEBGANJ ROAD, CHAKIA, EAST CHAMPARAN,845412","6257,244786",INFO@TRANSCENDENCD.IN
330334,TRIDENT PUBLIC SCHOOL,RAJESH KUMAR SHAHI,Senior Secondary, 31/03/2020 ,"AT : HARISHANKAR MANIYARI, PS : MANIYARI, MUZAFFARPUR,843119","0621,2265987",trident.school@gmail.com
330713,Trinity Global School,MR. ACHINTYA KUMAR,Senior Secondary, 31/03/2022 ,"New Transport Nagar, Near Zero Mile,800007","0612,9709999707,",management@trinityglobalschool.comWebsite:http://trinityglobalschool.com
330855,TRINITY INTERNATIONAL SCHOOL,MR. RAJENDRA KUMAR JHA,Secondary School, 31/03/2022 ,"TELIYA POKHAR , KAPILESHWAR , MADHUBANI,  BIHAR,847238",",9570133332",trinityschool12@gmail.comWebsite:http://www.tismadhubani.com
330675,UDAAN INTERNATIONAL SCHOOL,UMA PITHORA,Secondary School, 31/03/2020 ,"AT-KESHAWEY ,NEAR ANGREJI DHALA , BEGUSARAI  (BIHAR)-851134,851134","6243,241604",drumapithora@gmail.comWebsite:http://www.udaaninternationalschool.org
330416,UMA SHANKAR CHAMPA DEVI DAV PUBLIC SCHOOL,Abinash Chandra Jha,Senior Secondary, 31/03/2022 ,"AT+PO MAHARAJGANJSIWAN BIHAR,841238","6153,243966",uscddavps@gmail.com
330516,usha martin wld school,ANITA SINGH,Senior Secondary, 31/03/2020 ,"sohgi me, near sampatchak, p.s- gopalpur, patna masaurhi road,800007","0612,2494679",anitasingh@patna.umschools.edu.inWebsite:http://www.umspatna.edu.in
330742,VAISHALI CENTRAL PUBLIC SCHOOL,VIBHA KUMARI,Secondary School, 31/03/2020 ,"Vill - Madhurapur (Navanagar),Via - Bidupur Bazar,Mahnar Road,District - Vaishali,844502","6229,253513",vibhaaaryan24@gmail.comWebsite:http://www.vcpsmadhurapur.com
330369,Vatayan,RAJ KUMAR,Senior Secondary, 31/03/2020 ,"Rajendra Path,841226","6154,247636",vsrkumari950@gmail.com
330362,VEEN VIDYA NIKETAN,MINHAZ ALI HAIDAR KHAN,Senior Secondary, 31/03/2022 ,"ROAD 21(MAIN ROAD)RAJEEV NAGAR,800024","0612,2551245",vvnpatna.principal@gmail.com
330410,VIDYA BHARATI,AKHILESH KUMAR THAKUR,Secondary School, 31/03/2020 ,"VIDYA GRAM, NORTH OF SHANTI NAGAR, P.O- AMAGHHTA,843302","0000,9934065596",drakhileshkrt@gmail.com
330245,VIDYA JYOTI SCHOOL,PRADUMNA PATHAK,Senior Secondary, 31/03/2023 ,"BHATU BIGHA, EKANGARSARAI, NALANDA,801301","6111,694801",principalvjs@rediffmail.com
330240,VIDYA NIKETAN,SAURABH KUMAR ARYA,Secondary School, 31/03/2022 ,"CINEMA ROAD, MANHAR, DISTT-VAISHALI,844506","6229,236203",aryasaurabh68@gmail.com
330207,VIDYA NIKETAN,VINAY KUMAR SINHA,Senior Secondary, 31/03/2023 ,"P.O. SARAI MANER, DANAPUR, PATNA, BIHAR,801113","91,9334833359",vinay.kumar93341@gmail.com
330058,VIDYA NIKETAN GIRL HIGH SCHOOL,GOPAL KRISHNA,Senior Secondary, 31/03/2023 ,"AT MANPUR, BAIRIYA, P.O BAIRIYA, PATNA,800007","0612,3225538",PRINCIPALVNGHS@GMAIL.COM
330493,VIDYA SANSKAR SCHOOL,RAVI BHUSHAN SINGH,Senior Secondary, 31/03/2024 ,"GOKULPATH , BAILEY ROAD , DANAPUR, PATNA,801503","6115,235218",sravibhushan418@gmail.com
330661,VIDYA VATIKA PUBLIC SCHOOL,Chandan Kumar Jha,Secondary School, 31/03/2019 ,"VILLAGE-KAINA (Morwara Chowk,Bela Road),848209","6275,0000000",vvpsprincipal@gmail.com
330061,VIDYA VIHAR RESIDENTIAL SCHOOL,Nishi Kant Das Guru,Senior Secondary, 31/03/2020 ,"PARORA PURNEA BIHAR,854301","0645,244811",vvrsasset@gmail.comWebsite:http://www.vidyavihar.org
330348,VIDYAPATI PUBLIC SCHOOL,BALIRAM MISHRA,Senior Secondary, 31/03/2022 ,"VILL. + P.O- PACHPAKARI, P.S- DHAKA,845427","6250,250034",vidyapati1247@yahoo.comWebsite:www.vidyapatipublicschool.in
330236,VIGYANANAND KENDRIYA VIDYALAYA,JAYAPRADA KUMARI,Senior Secondary, 31/03/2020 ,"VILL. + P.O. CHANUR,,841226","6154,286369",principal@vkvsiwan.edu.inWebsite:http://www.vkvidyalaya.com
330629,VIKAS INTERNATIONAL PUBLIC SCHOOL,MURARI KUMAR,Senior Secondary, 31/03/2023 ,"sri krishna nagar at+po- maur Barbigha, Sheikhpura,,811103","0641,2568546",principalvipsbarbigha@gmail.comWebsite:http://www.vipschool.co.in
330223,VIKAS VIDYALAYA,MANOJ KUMAR CHOUDHARY,Senior Secondary, 31/03/2020 ,"VILL+PO- SHIKSHAKNAGA DUMRI, DISTT BEGUSARAI, BIHAR,851117","6243,263569",manojsirenglish@rediffmail.com
330728,VIRTUOUS INTERNATIONAL K-12 SCHOOL,TRIVIKRAM PRASAD,Secondary School, 31/03/2020 ,"NEAR BAZAR SAMITY, JADHUA ROAD, MINAPUR, HAJIPUR,844101","6224,266138",trivikram272017@gmail.com
330358,Vishashvi Public School,SHARMILA KUMARI,Secondary School, 31/03/2020 ,"Co-operative Colony; NH30A;Fatuha.,803201","0612,3262037",kumarvimal220@gmail.comWebsite:http://www.vishashvi.com/
330778,VIVEKANAND INTERNATIONAL PUBLIC SCHOOL,MRS. NEELAM SINGH,Secondary School, 31/03/2021 ,"V.I.P. GOLAMBAR, MUKRERA, CHAPRA SIWAN ROAD, N.H. - 85, CHAPRA - 841 301, BIHAR,841301",",9960400800",vipschapra@gmail.comWebsite:http://www.vipschapra.com
330154,VIVEKANAND MISSION SCHOOL,ABHISHEK KUMAR,Senior Secondary, 31/03/2022 ,"BILEY VIHAR DAUD NAGAR DISTT AURANGABAD BIHAR,824113","6328,7033826668",info@vivekanandmissionschool.orgWebsite:http://www.mgps.in
